type,Week,N,estimate,lower.ci,upper.ci
Blood donors,Combined,2100,0.106849523809524,0.0939711375498926,0.121256637295759
Blood donors,Wk14,100,0.0105599999999998,0.00184711460040343,0.0579842820109458
Blood donors,Wk17,100,0.0595700000000006,0.0273637171518603,0.124817693552957
Blood donors,Wk18,100,0.0302500000000004,0.010319769628806,0.0853513458430087
Blood donors,Wk19,100,0.0809999999999991,0.0413761265585888,0.152531930782795
Blood donors,Wk20,100,0.0780099999999994,0.0386480400660412,0.151157645084064
Blood donors,Wk21,100,0.0599000000000007,0.0275155491834522,0.125481328116531
Blood donors,Wk22,100,0.0503199999999994,0.0215845886907376,0.112896500676755
Blood donors,Wk23,100,0.0990999999999993,0.05388674769886,0.175223238922758
Blood donors,Wk24,100,0.0487599999999994,0.0204175279358403,0.111949623021165
Blood donors,Wk25,100,0.0594600000000002,0.0263650742280907,0.128610064142441
Blood donors,Wk30,100,0.13777,0.0806925052102989,0.225325329944934
Blood donors,Wk31,100,0.08341,0.0424479216008681,0.157402660600841
Blood donors,Wk32,100,0.13015,0.0760378941702896,0.21385768518768
Blood donors,Wk33,100,0.118080000000001,0.0679446987888624,0.197375346165924
Blood donors,Wk34,100,0.17103,0.108047900944354,0.260022387610407
Blood donors,Wk45,100,0.168379999999998,0.107012392000865,0.254894423370627
Blood donors,Wk46,100,0.25312,0.175972568289706,0.349734603486362
Blood donors,Wk47,100,0.18661,0.120537586057179,0.277473144465527
Blood donors,Wk48,100,0.160739999999999,0.0999372248614044,0.24832932200571
Blood donors,Wk49,100,0.11017,0.0617870483789645,0.188815001724142
Blood donors,Wk50,100,0.14745,0.0896576621787122,0.232961572457277
Pregnant volunteers,Combined,2000,0.0809465,0.0693762241878839,0.0942509891168421
Pregnant volunteers,Wk17,100,0.02666,0.00792600491157854,0.0858424179042805
Pregnant volunteers,Wk18,100,0.0566899999999999,0.0247179410843924,0.124728265594877
Pregnant volunteers,Wk19,100,0.0786199999999989,0.0397585921357944,0.149550092973462
Pregnant volunteers,Wk20,100,0.0598600000000006,0.0274721872180316,0.125503346900027
Pregnant volunteers,Wk21,100,0.0902500000000017,0.0479287547118726,0.163522607539683
Pregnant volunteers,Wk22,100,0.0207499999999997,0.00570376038290067,0.0725897743490987
Pregnant volunteers,Wk23,100,0.0698299999999997,0.0335409736286463,0.139705735499787
Pregnant volunteers,Wk24,100,0.0901500000000018,0.0479680795187095,0.163071918996343
Pregnant volunteers,Wk25,100,0.0683099999999999,0.032359833351414,0.138483192841632
Pregnant volunteers,Wk30,100,0.12214,0.0694951490975096,0.205842896861032
Pregnant volunteers,Wk31,100,0.100409999999999,0.0545106388249169,0.177694257773588
Pregnant volunteers,Wk32,100,0.0974000000000001,0.0519573819140458,0.175240732997276
Pregnant volunteers,Wk33,100,0.0969600000000002,0.0522575063125684,0.172925006303049
Pregnant volunteers,Wk34,100,0.08534,0.0434030859547729,0.160978339329938
Pregnant volunteers,Wk45,100,0.0651500000000003,0.029885387733211,0.136185160583975
Pregnant volunteers,Wk46,100,0.03612,0.012474148660267,0.100047593309387
Pregnant volunteers,Wk47,100,0.0737499999999995,0.0354973814244321,0.146944111263711
Pregnant volunteers,Wk48,100,0.0964,0.0504181726484779,0.176522026311808
Pregnant volunteers,Wk49,100,0.11771,0.0669514362789297,0.198753395990494
Pregnant volunteers,Wk50,100,0.16643,0.10440687004573,0.254814941322852
Combined,Wk14,100,0.0105599999999998,0.00184711460040343,0.0579842820109458
Combined,Wk17,200,0.0431150000000002,0.0221223112761615,0.0823508337277539
Combined,Wk18,200,0.0434700000000001,0.022299970205302,0.0830306178613479
Combined,Wk19,200,0.0798099999999993,0.0493467575514476,0.126575203056695
Combined,Wk20,200,0.0689349999999998,0.0407436413657359,0.114308116426858
Combined,Wk21,200,0.0750750000000008,0.0457905956485781,0.120718292288378
Combined,Wk22,200,0.0355349999999998,0.0172721597953066,0.0716993107746621
Combined,Wk23,200,0.0844649999999996,0.0527466648833784,0.132586944479438
Combined,Wk24,200,0.0694549999999997,0.0414740782661843,0.11406705818783
Combined,Wk25,200,0.063885,0.0366526359995393,0.109060011958329
Combined,Wk30,200,0.129955,0.0881953852243244,0.187423042342957
Combined,Wk31,200,0.0919100000000001,0.0583328478485414,0.141902101175647
Combined,Wk32,200,0.113775,0.0755409717516833,0.167847126993757
Combined,Wk33,200,0.10752,0.0711645331155792,0.159263610639403
Combined,Wk34,200,0.128185,0.0874676569420377,0.184034176973193
Combined,Wk45,200,0.116765,0.0785313072613766,0.170175435429028
Combined,Wk46,200,0.14462,0.101157728048079,0.202547830993344
Combined,Wk47,200,0.13018,0.0891305166227496,0.186268917111879
Combined,Wk48,200,0.12857,0.0874735682462468,0.185058597470984
Combined,Wk49,200,0.113939999999999,0.0760462408645264,0.167297201965587
Combined,Wk50,200,0.15694,0.111767424356249,0.215931416896436
